Id,CAS,SMILES,Status,Experimental value,Predicted value,NumValenceElectrons,qed,TPSA,MolMR,BalabanJ,BertzCT,MolWt,MolLogP
1,100-00-5,O=[N+]([O-])c1ccc(cc1)Cl,Training,1,1,52,0.463602103,43.14,38.1064,3.003400685,244.4296584,157.556,2.2482
2,100-01-6,O=[N+]([O-])c1ccc(N)cc1,Training,1,1,52,0.359543609,69.16,37.5088,3.003400685,242.4296584,138.126,1.177
3,100-02-7,O=[N+]([O-])c1ccc(O)cc1,Training,0,1,52,0.470728212,63.37,34.7612,3.003400685,241.6747709,139.11,1.3004
4,100-11-8,O=[N+]([O-])c1ccc(cc1)CBr,Training,1,0,58,0.432586142,43.14,45.7274,2.913801563,257.6480131,216.034,2.4897
5,100-12-9,O=[N+]([O-])c1ccc(cc1)CC,Training,0,0,58,0.479785105,43.14,42.4744,2.913801563,253.2994976,151.165,2.1572
6,100129-07-5,O=C(N(C)Cc1ccccc1)C(C)Br,Training,0,0,76,0.760422364,20.31,61.305,2.574687984,297.4156581,256.143,2.4284
7,100-13-0,O=[N+]([O-])c1ccc(C=C)cc1,Training,1,0,56,0.477660142,43.14,43.1874,3.000886646,276.6484617,149.149,2.2378
8,100-14-1,O=[N+]([O-])c1ccc(cc1)CCl,Training,1,1,58,0.389481696,43.14,42.6534,2.913801563,257.6480131,171.583,2.3336
9,100-15-2,O=[N+]([O-])c1ccc(cc1)NC,Training,1,1,58,0.517280756,55.17,42.6431,2.913801563,255.6480131,152.153,1.6365
10,100-16-3,O=[N+]([O-])c1ccc(cc1)NN,Training,1,1,58,0.375116748,81.19,40.9065,2.913801563,257.0348351,153.141,0.8804
11,100-17-4,O=[N+]([O-])c1ccc(OC)cc1,Training,1,1,58,0.478622896,52.37,39.6484,2.913801563,254.8931256,153.137,1.6034
12,100-19-6,O=C(c1ccc(cc1)[N+](=O)[O-])C,Training,1,1,62,0.381035511,60.21,43.1009,3.006149834,282.5797872,165.148,1.7974
13,100-20-9,O=C(c1ccc(cc1)C(=O)Cl)Cl,Training,1,1,62,0.691353664,34.14,46.809,3.006149834,283.3346747,203.024,2.4446
14,100-21-0,O=C(O)c1ccc(cc1)C(=O)O,Training,0,0,62,0.688908808,74.6,40.3606,3.006149834,279.3346747,166.132,1.083
15,100-22-1,c1cc(ccc1N(C)C)N(C)C,Training,1,1,66,0.657547567,6.48,55.096,2.855624622,209.5204215,164.252,1.8186
